;Ticker;Name;Sector;Industry
114;A;AGILENT TECHNOLOGIES INC. COMMON STOCK;CAPITAL GOODS;ELECTRICAL PRODUCTS
0;AA;ALCOA CORPORATION;;
1;AAL;AMERICAN AIRLINES GROUP INC.;;
326;AAP;ADVANCE AUTO PARTS INC ADVANCE AUTO PARTS INC W/I;CONSUMER SERVICES;OTHER SPECIALTY STORES
2;AAPL;APPLE INC.;;
839;AAT;AMERICAN ASSETS TRUST INC. COMMON STOCK;CONSUMER SERVICES;REAL ESTATE INVESTMENT TRUSTS
600;AB;ALLIANCEBERNSTEIN HOLDING L.P.  UNITS;FINANCE;INVESTMENT MANAGERS
19;ABBV;ABBVIE INC. COMMON STOCK;HEALTH CARE;MAJOR PHARMACEUTICALS
211;ABC;AMERISOURCEBERGEN CORPORATION COMMON STOCK;HEALTH CARE;OTHER PHARMACEUTICALS
3;ABEV;AMBEV S.A.;;
740;ABG;ASBURY AUTOMOTIVE GROUP INC COMMON STOCK;CONSUMER SERVICES;OTHER SPECIALTY STORES
750;ABM;ABM INDUSTRIES INCORPORATED COMMON STOCK;TECHNOLOGY;DIVERSIFIED COMMERCIAL SERVICES
797;ABR;ARBOR REALTY TRUST COMMON STOCK;CONSUMER SERVICES;REAL ESTATE INVESTMENT TRUSTS
4;ABT;ABBOTT LABORATORIES;;
20;ABT;ABBOTT LABORATORIES COMMON STOCK;HEALTH CARE;MEDICAL/DENTAL INSTRUMENTS
492;ACC;AMERICAN CAMPUS COMMUNITIES INC COMMON STOCK;CONSUMER SERVICES;REAL ESTATE INVESTMENT TRUSTS
406;ACI;ALBERTSONS COMPANIES INC. CLASS A COMMON STOCK;CONSUMER SERVICES;FOOD CHAINS
402;ACM;AECOM COMMON STOCK;CONSUMER SERVICES;MILITARY/GOVERNMENT/TECHNICAL
588;ADC;AGREE REALTY CORPORATION COMMON STOCK;CONSUMER SERVICES;REAL ESTATE INVESTMENT TRUSTS
154;ADM;ARCHER-DANIELS-MIDLAND COMPANY COMMON STOCK;;
554;ADS;ALLIANCE DATA SYSTEMS CORPORATION COMMON STOCK;FINANCE;DIVERSIFIED FINANCIAL SERVICES
414;ADT;ADT INC. COMMON STOCK;CONSUMER SERVICES;DIVERSIFIED COMMERCIAL SERVICES
848;ADX;ADAMS DIVERSIFIED EQUITY FUND INC.;FINANCE;INVESTMENT MANAGERS
234;AEE;AMEREN CORPORATION COMMON STOCK;PUBLIC UTILITIES;POWER GENERATION
742;AEL;AMERICAN EQUITY INVESTMENT LIFE HOLDING COMPANY COMMON STOCK;FINANCE;LIFE INSURANCE
503;AEO;AMERICAN EAGLE OUTFITTERS INC. COMMON STOCK;CONSUMER SERVICES;CLOTHING/SHOE/ACCESSORY STORES
276;AES;THE AES CORPORATION COMMON STOCK;PUBLIC UTILITIES;ELECTRIC UTILITIES: CENTRAL
373;AFG;AMERICAN FINANCIAL GROUP INC. COMMON STOCK;FINANCE;PROPERTY-CASUALTY INSURERS
5;AFL;AFLAC INCORPORATED;;
143;AFL;AFLAC INCORPORATED COMMON STOCK;FINANCE;ACCIDENT &HEALTH INSURANCE
6;AFRM;AFFIRM HOLDINGS, INC.;;
394;AGCO;AGCO CORPORATION COMMON STOCK;CAPITAL GOODS;INDUSTRIAL MACHINERY/COMPONENTS
7;AGNC;AGNC INVESTMENT CORP.;;
243;AGR;AVANGRID INC. COMMON STOCK;PUBLIC UTILITIES;ELECTRIC UTILITIES: CENTRAL
123;AIG;AMERICAN INTERNATIONAL GROUP INC. NEW COMMON STOCK;FINANCE;LIFE INSURANCE
758;AIN;ALBANY INTERNATIONAL CORPORATION COMMON STOCK;BASIC INDUSTRIES;TEXTILES
701;AIT;APPLIED INDUSTRIAL TECHNOLOGIES INC. COMMON STOCK;CAPITAL GOODS;INDUSTRIAL MACHINERY/COMPONENTS
400;AIZ;ASSURANT INC. COMMON STOCK;FINANCE;SPECIALTY INSURERS
183;AJG;ARTHUR J. GALLAGHER & CO. COMMON STOCK;FINANCE;SPECIALTY INSURERS
662;AJRD;AEROJET ROCKETDYNE HOLDINGS INC. COMMON STOCK;CAPITAL GOODS;MILITARY/GOVERNMENT/TECHNICAL
572;AL;AIR LEASE CORPORATION CLASS A COMMON STOCK;TECHNOLOGY;DIVERSIFIED COMMERCIAL SERVICES
255;ALB;ALBEMARLE CORPORATION COMMON STOCK;BASIC INDUSTRIES;INDUSTRIAL SPECIALTIES
686;ALE;ALLETE INC.;PUBLIC UTILITIES;POWER GENERATION
442;ALK;ALASKA AIR GROUP INC. COMMON STOCK;TRANSPORTATION;AIR FREIGHT/DELIVERY SERVICES
135;ALL;ALLSTATE CORPORATION (THE) COMMON STOCK;FINANCE;PROPERTY-CASUALTY INSURERS
344;ALLE;ALLEGION PLC ORDINARY SHARES;CONSUMER SERVICES;DIVERSIFIED COMMERCIAL SERVICES
260;ALLY;ALLY FINANCIAL INC. COMMON STOCK;FINANCE;DIVERSIFIED FINANCIAL SERVICES
619;ALSN;ALLISON TRANSMISSION HOLDINGS INC. COMMON STOCK;CAPITAL GOODS;AUTO PARTS:O.E.M.
579;AM;ANTERO MIDSTREAM CORPORATION COMMON STOCK;PUBLIC UTILITIES;NATURAL GAS DISTRIBUTION
8;AMC;AMC ENTERTAINMENT HOLDINGS, INC.;;
9;AMCR;AMCOR PLC;;
10;AMD;ADVANCED MICRO DEVICES, INC.;;
169;AME;AMETEK INC.;CONSUMER DURABLES;METAL FABRICATIONS
497;AMG;AFFILIATED MANAGERS GROUP INC. COMMON STOCK;FINANCE;INVESTMENT MANAGERS
618;AMN;AMN HEALTHCARE SERVICES INC AMN HEALTHCARE SERVICES INC;HEALTH CARE;ASSISTED LIVING SERVICES
187;AMP;AMERIPRISE FINANCIAL INC. COMMON STOCK;FINANCE;INVESTMENT MANAGERS
713;AMRC;AMERESCO INC. CLASS A COMMON STOCK;BASIC INDUSTRIES;WATER SUPPLY
44;AMT;AMERICAN TOWER CORPORATION (REIT) COMMON STOCK;CONSUMER SERVICES;REAL ESTATE INVESTMENT TRUSTS
714;AMWL;AMERICAN WELL CORPORATION CLASS A COMMON STOCK;TECHNOLOGY;RETAIL: COMPUTER SOFTWARE & PERIPHERAL EQUIPMENT
11;AMZN;AMAZON.COM, INC.;;
459;AN;AUTONATION INC. COMMON STOCK;CONSUMER SERVICES;OTHER SPECIALTY STORES
782;ANF;ABERCROMBIE & FITCH COMPANY COMMON STOCK;CONSUMER SERVICES;CLOTHING/SHOE/ACCESSORY STORES
57;ANTM;ANTHEM INC. COMMON STOCK;HEALTH CARE;MEDICAL SPECIALITIES
100;AON;AON PLC CLASS A ORDINARY SHARES (IRELAND);FINANCE;SPECIALTY INSURERS
369;AOS;A.O. SMITH CORPORATION COMMON STOCK;CAPITAL GOODS;INDUSTRIAL MACHINERY/COMPONENTS
12;APA;APA CORPORATION;;
649;APAM;ARTISAN PARTNERS ASSET MANAGEMENT INC. CLASS A COMMON STOCK;FINANCE;INVESTMENT MANAGERS
88;APD;AIR PRODUCTS AND CHEMICALS INC. COMMON STOCK;BASIC INDUSTRIES;MAJOR CHEMICALS
128;APH;AMPHENOL CORPORATION COMMON STOCK;CAPITAL GOODS;ELECTRICAL PRODUCTS
695;APLE;APPLE HOSPITALITY REIT INC. COMMON SHARES;CONSUMER SERVICES;REAL ESTATE INVESTMENT TRUSTS
317;APO;APOLLO GLOBAL MANAGEMENT INC. CLASS A COMMON STOCK;FINANCE;INVESTMENT MANAGERS
648;AQUA;EVOQUA WATER TECHNOLOGIES CORP. COMMON STOCK;CAPITAL GOODS;OFFICE EQUIPMENT/SUPPLIES/SERVICES
13;AR;ANTERO RESOURCES CORPORATION;;
197;ARE;ALEXANDRIA REAL ESTATE EQUITIES INC. COMMON STOCK;CONSUMER SERVICES;REAL ESTATE INVESTMENT TRUSTS
830;ARI;APOLLO COMMERCIAL REAL ESTATE FINANCE INC;CONSUMER SERVICES;REAL ESTATE INVESTMENT TRUSTS
14;ARRY;ARRAY TECHNOLOGIES, INC.;;
433;ARW;ARROW ELECTRONICS INC. COMMON STOCK;TECHNOLOGY;ELECTRONIC COMPONENTS
716;ASB;ASSOCIATED BANC-CORP COMMON STOCK;FINANCE;MAJOR BANKS
568;ASGN;ASGN INCORPORATED COMMON STOCK;TECHNOLOGY;DIVERSIFIED COMMERCIAL SERVICES
555;ASH;ASHLAND GLOBAL HOLDINGS INC. COMMON STOCK;BASIC INDUSTRIES;SPECIALTY CHEMICALS
771;ATI;ALLEGHENY TECHNOLOGIES INCORPORATED COMMON STOCK;BASIC INDUSTRIES;STEEL/IRON ORE
700;ATKR;ATKORE INC. COMMON STOCK;TECHNOLOGY;ELECTRICAL PRODUCTS
334;ATO;ATMOS ENERGY CORPORATION COMMON STOCK;PUBLIC UTILITIES;OIL/GAS TRANSMISSION
405;ATR;APTARGROUP INC. COMMON STOCK;CAPITAL GOODS;OFFICE EQUIPMENT/SUPPLIES/SERVICES
292;ATUS;ALTICE USA INC. CLASS A COMMON STOCK;CONSUMER SERVICES;TELEVISION SERVICES
15;ATUS;ALTICE USA, INC.;;
16;ATVI;ACTIVISION BLIZZARD, INC.;;
17;AUY;YAMANA GOLD INC.;;
754;AVA;AVISTA CORPORATION COMMON STOCK;PUBLIC UTILITIES;POWER GENERATION
174;AVB;AVALONBAY COMMUNITIES INC. COMMON STOCK;CONSUMER SERVICES;REAL ESTATE INVESTMENT TRUSTS
313;AVLR;AVALARA INC. COMMON STOCK;TECHNOLOGY;EDP SERVICES
612;AVNT;AVIENT CORPORATION COMMON STOCK;BASIC INDUSTRIES;MAJOR CHEMICALS
277;AVY;AVERY DENNISON CORPORATION COMMON STOCK;MISCELLANEOUS;OFFICE EQUIPMENT/SUPPLIES/SERVICES
571;AWI;ARMSTRONG WORLD INDUSTRIES INC COMMON STOCK;;
191;AWK;AMERICAN WATER WORKS COMPANY INC. COMMON STOCK;PUBLIC UTILITIES;WATER SUPPLY
762;AWR;AMERICAN STATES WATER COMPANY COMMON STOCK;PUBLIC UTILITIES;WATER SUPPLY
776;AX;AXOS FINANCIAL INC. COMMON STOCK;FINANCE;SAVINGS INSTITUTIONS
38;AXP;AMERICAN EXPRESS COMPANY COMMON STOCK;FINANCE;FINANCE: CONSUMER SERVICES
470;AXTA;AXALTA COATING SYSTEMS LTD. COMMON SHARES;BASIC INDUSTRIES;PAINTS/COATINGS
477;AYI;ACUITY BRANDS INC. ;CONSUMER DURABLES;BUILDING PRODUCTS
525;AYX;ALTERYX INC. CLASS A COMMON STOCK;TECHNOLOGY;COMPUTER SOFTWARE: PREPACKAGED SOFTWARE
467;AZEK;THE AZEK COMPANY INC. CLASS A COMMON STOCK;;
168;AZO;AUTOZONE INC. COMMON STOCK;;
793;B;BARNES GROUP INC. COMMON STOCK;CAPITAL GOODS;OFFICE EQUIPMENT/SUPPLIES/SERVICES
18;BA;THE BOEING COMPANY;;
33;BA;BOEING COMPANY (THE) COMMON STOCK;CAPITAL GOODS;AEROSPACE
19;BABA;ALIBABA GROUP HOLDING LIMITED;;
20;BAC;BANK OF AMERICA CORPORATION;;
6;BAC;BANK OF AMERICA CORPORATION COMMON STOCK;FINANCE;MAJOR BANKS
353;BAH;BOOZ ALLEN HAMILTON HOLDING CORPORATION COMMON STOCK;CONSUMER SERVICES;PROFESSIONAL SERVICES
126;BAX;BAXTER INTERNATIONAL INC. COMMON STOCK;HEALTH CARE;MEDICAL/DENTAL INSTRUMENTS
21;BB;BLACKBERRY LIMITED;;
22;BBD;BANCO BRADESCO S.A.;;
192;BBY;BEST BUY CO. INC. COMMON STOCK;CONSUMER SERVICES;CONSUMER ELECTRONICS/VIDEO CHAINS
453;BC;BRUNSWICK CORPORATION COMMON STOCK;CONSUMER NON-DURABLES;RECREATIONAL PRODUCTS/TOYS
822;BCAT;BLACKROCK CAPITAL ALLOCATION TRUST COMMON SHARES OF BENEFICIAL INTEREST;FINANCE;FINANCE/INVESTORS SERVICES
836;BCC;BOISE CASCADE L.L.C. COMMON STOCK;;
661;BCO;BRINKS COMPANY (THE) COMMON STOCK;MISCELLANEOUS;DIVERSIFIED MANUFACTURE
828;BDC;BELDEN INC COMMON STOCK;BASIC INDUSTRIES;TELECOMMUNICATIONS EQUIPMENT
815;BDN;BRANDYWINE REALTY TRUST COMMON STOCK;CONSUMER SERVICES;REAL ESTATE INVESTMENT TRUSTS
78;BDX;BECTON DICKINSON AND COMPANY COMMON STOCK;HEALTH CARE;MEDICAL/DENTAL INSTRUMENTS
23;BE;BLOOM ENERGY CORPORATION;;
24;BEKE;KE HOLDINGS INC.;;
288;BEN;FRANKLIN RESOURCES INC. COMMON STOCK;FINANCE;INVESTMENT MANAGERS
424;BERY;BERRY GLOBAL GROUP INC. COMMON STOCK;CONSUMER NON-DURABLES;PLASTIC PRODUCTS
413;BFAM;BRIGHT HORIZONS FAMILY SOLUTIONS INC. COMMON STOCK;MISCELLANEOUS;OTHER CONSUMER SERVICES
360;BG;BUNGE LIMITED BUNGE LIMITED;BASIC INDUSTRIES;AGRICULTURAL CHEMICALS
852;BGS;B&G FOODS INC. B&G FOODS INC. COMMON STOCK;CONSUMER NON-DURABLES;PACKAGED FOODS
502;BHVN;BIOHAVEN PHARMACEUTICAL HOLDING COMPANY LTD. COMMON SHARES;HEALTH CARE;MAJOR PHARMACEUTICALS
834;BIG;BIG LOTS INC. COMMON STOCK;CONSUMER SERVICES;DEPARTMENT/SPECIALTY RETAIL STORES
261;BIO;BIO-RAD LABORATORIES INC. CLASS A COMMON STOCK;CAPITAL GOODS;BIOTECHNOLOGY: LABORATORY ANALYTICAL INSTRUMENTS
498;BJ;BJ'S WHOLESALE CLUB HOLDINGS INC. COMMON STOCK;CONSUMER SERVICES;DEPARTMENT/SPECIALTY RETAIL STORES
25;BK;THE BANK OF NEW YORK MELLON CORPORATION;;
116;BK;THE BANK OF NEW YORK MELLON CORPORATION COMMON STOCK;FINANCE;MAJOR BANKS
838;BKE;BUCKLE INC. (THE) COMMON STOCK;CONSUMER SERVICES;CLOTHING/SHOE/ACCESSORY STORES
627;BKH;BLACK HILLS CORPORATION COMMON STOCK;PUBLIC UTILITIES;ELECTRIC UTILITIES: CENTRAL
26;BKR;BAKER HUGHES COMPANY;;
641;BKU;BANKUNITED INC. COMMON STOCK;FINANCE;SAVINGS INSTITUTIONS
506;BLD;TOPBUILD CORP. COMMON STOCK;CAPITAL GOODS;ENGINEERING & CONSTRUCTION
39;BLK;BLACKROCK INC. COMMON STOCK;FINANCE;INVESTMENT BANKERS/BROKERS/SERVICE
199;BLL;BALL CORPORATION COMMON STOCK;CONSUMER DURABLES;CONTAINERS/PACKAGING
779;BMI;BADGER METER INC. COMMON STOCK;CAPITAL GOODS;INDUSTRIAL MACHINERY/COMPONENTS
27;BMY;BRISTOL-MYERS SQUIBB COMPANY;;
32;BMY;BRISTOL-MYERS SQUIBB COMPANY COMMON STOCK;HEALTH CARE;MAJOR PHARMACEUTICALS
704;BNL;BROADSTONE NET LEASE INC. COMMON STOCK;CONSUMER SERVICES;REAL ESTATE INVESTMENT TRUSTS
698;BOH;BANK OF HAWAII CORPORATION COMMON STOCK;FINANCE;MAJOR BANKS
811;BOOT;BOOT BARN HOLDINGS INC. COMMON STOCK;CONSUMER SERVICES;CLOTHING/SHOE/ACCESSORY STORES
643;BOX;BOX INC. CLASS A COMMON STOCK;TECHNOLOGY;COMPUTER SOFTWARE: PREPACKAGED SOFTWARE
28;BP;BP P.L.C.;;
263;BR;BROADRIDGE FINANCIAL SOLUTIONS INC.COMMON STOCK;MISCELLANEOUS;BUSINESS SERVICES
759;BRC;BRADY CORPORATION COMMON STOCK;MISCELLANEOUS;DIVERSIFIED MANUFACTURE
297;BRO;BROWN & BROWN INC. COMMON STOCK;FINANCE;SPECIALTY INSURERS
850;BSM;BLACK STONE MINERALS L.P. COMMON UNITS REPRESENTING LIMITED PARTNER INTERESTS;ENERGY;OIL & GAS PRODUCTION
89;BSX;BOSTON SCIENTIFIC CORPORATION COMMON STOCK;HEALTH CARE;MEDICAL/DENTAL INSTRUMENTS
29;BSX;BOSTON SCIENTIFIC CORPORATION;;
30;BTG;B2GOLD CORP.;;
354;BWA;BORGWARNER INC. COMMON STOCK;CAPITAL GOODS;AUTO PARTS:O.E.M.
540;BWXT;BWX TECHNOLOGIES INC. COMMON STOCK;;
77;BX;THE BLACKSTONE GROUP INC. COMMON STOCK;FINANCE;INVESTMENT MANAGERS
586;BXMT;BLACKSTONE MORTGAGE TRUST INC. COMMON STOCK;CONSUMER SERVICES;REAL ESTATE INVESTMENT TRUSTS
265;BXP;BOSTON PROPERTIES INC. COMMON STOCK;CONSUMER SERVICES;REAL ESTATE INVESTMENT TRUSTS
760;BXS;BANCORPSOUTH BANK COMMON STOCK;FINANCE;MAJOR BANKS
473;BYD;BOYD GAMING CORPORATION COMMON STOCK;CONSUMER SERVICES;MOVIES/ENTERTAINMENT
31;C;CITIGROUP INC.;;
31;C;CITIGROUP INC. COMMON STOCK;FINANCE;MAJOR BANKS
364;CABO;CABLE ONE INC. COMMON STOCK;CONSUMER SERVICES;TELECOMMUNICATIONS EQUIPMENT
515;CACI;CACI INTERNATIONAL INC. CLASS A COMMON STOCK;TECHNOLOGY;EDP SERVICES
795;CADE;CADENCE BANCORPORATION CLASS A COMMON STOCK;FINANCE;COMMERCIAL BANKS
280;CAG;CONAGRA BRANDS INC. COMMON STOCK;CONSUMER NON-DURABLES;PACKAGED FOODS
289;CAH;CARDINAL HEALTH INC. COMMON STOCK;HEALTH CARE;OTHER PHARMACEUTICALS
761;CALX;CALIX INC COMMON STOCK;TECHNOLOGY;COMPUTER SOFTWARE: PREPACKAGED SOFTWARE
43;CAT;CATERPILLAR INC. COMMON STOCK;CAPITAL GOODS;CONSTRUCTION/AG EQUIPMENT/TRUCKS
176;CBRE;CBRE GROUP INC COMMON STOCK CLASS A;FINANCE;REAL ESTATE
729;CBT;CABOT CORPORATION COMMON STOCK;BASIC INDUSTRIES;SPECIALTY CHEMICALS
633;CBU;COMMUNITY BANK SYSTEM INC. COMMON STOCK;FINANCE;MAJOR BANKS
531;CC;CHEMOURS COMPANY (THE) COMMON STOCK;BASIC INDUSTRIES;INDUSTRIAL SPECIALTIES
64;CCI;CROWN CASTLE INTERNATIONAL CORP. (REIT) COMMON STOCK;CONSUMER SERVICES;REAL ESTATE INVESTMENT TRUSTS
496;CCIV;CHURCHILL CAPITAL CORP IV CLASS A COMMON STOCK;;
32;CCJ;CAMECO CORPORATION;;
321;CCK;CROWN HOLDINGS INC.;CONSUMER DURABLES;CONTAINERS/PACKAGING
33;CCL;CARNIVAL CORPORATION & PLC;;
160;CCL;CARNIVAL CORPORATION COMMON STOCK;;
835;CCS;CENTURY COMMUNITIES INC. COMMON STOCK;CAPITAL GOODS;HOMEBUILDING
307;CDAY;CERIDIAN HCM HOLDING INC. COMMON STOCK;TECHNOLOGY;EDP SERVICES
817;CDE;COEUR MINING INC. COMMON STOCK;BASIC INDUSTRIES;PRECIOUS METALS
283;CE;CELANESE CORPORATION CELANESE CORPORATION COMMON STOCK;BASIC INDUSTRIES;MAJOR CHEMICALS
367;CF;CF INDUSTRIES HOLDINGS INC. COMMON STOCK;BASIC INDUSTRIES;AGRICULTURAL CHEMICALS
248;CFG;CITIZENS FINANCIAL GROUP INC. COMMON STOCK;FINANCE;MAJOR BANKS
469;CFR;CULLEN/FROST BANKERS INC. COMMON STOCK;FINANCE;MAJOR BANKS
507;CFX;COLFAX CORPORATION COMMON STOCK;CAPITAL GOODS;FLUID CONTROLS
34;CGC;CANOPY GROWTH CORPORATION;;
236;CHD;CHURCH & DWIGHT COMPANY INC. COMMON STOCK;CONSUMER NON-DURABLES;PACKAGE GOODS/COSMETICS
450;CHE;CHEMED CORP;HEALTH CARE;MEDICAL/NURSING SERVICES
486;CHH;CHOICE HOTELS INTERNATIONAL INC. COMMON STOCK;CONSUMER SERVICES;HOTELS/RESORTS
68;CI;CIGNA CORPORATION COMMON STOCK;HEALTH CARE;MEDICAL SPECIALITIES
417;CIEN;CIENA CORPORATION COMMON STOCK;PUBLIC UTILITIES;TELECOMMUNICATIONS EQUIPMENT
35;CIG;COMPANHIA ENERG‚TICA DE MINAS GERAIS;;
685;CIM;CHIMERA INVESTMENT CORPORATION COMMON STOCK;CONSUMER SERVICES;REAL ESTATE INVESTMENT TRUSTS
564;CIT;CIT GROUP INC (DEL) COMMON STOCK;FINANCE;MAJOR BANKS
79;CL;COLGATE-PALMOLIVE COMPANY COMMON STOCK;CONSUMER NON-DURABLES;PACKAGE GOODS/COSMETICS
36;CLF;CLEVELAND-CLIFFS INC.;;
368;CLF;CLEVELAND-CLIFFS INC. COMMON STOCK;;
581;CLH;CLEAN HARBORS INC. COMMON STOCK;;
37;CLOV;CLOVER HEALTH INVESTMENTS, CORP.;;
314;CLR;CONTINENTAL RESOURCES INC. COMMON STOCK;ENERGY;OIL & GAS PRODUCTION
225;CLX;CLOROX COMPANY (THE) COMMON STOCK;CONSUMER DURABLES;SPECIALTY CHEMICALS
379;CMA;COMERICA INCORPORATED COMMON STOCK;FINANCE;MAJOR BANKS
665;CMC;COMMERCIAL METALS COMPANY COMMON STOCK;BASIC INDUSTRIES;STEEL/IRON ORE
38;CMCSA;COMCAST CORPORATION;;
122;CMG;CHIPOTLE MEXICAN GRILL INC. COMMON STOCK;CONSUMER SERVICES;RESTAURANTS
149;CMI;CUMMINS INC. COMMON STOCK;CAPITAL GOODS;CONSTRUCTION/AG EQUIPMENT/TRUCKS
873;CMP;COMPASS MINERALS INTL INC COMMON STOCK;BASIC INDUSTRIES;PRECIOUS METALS
279;CMS;CMS ENERGY CORPORATION COMMON STOCK;PUBLIC UTILITIES;POWER GENERATION
345;CNA;CNA FINANCIAL CORPORATION COMMON STOCK;FINANCE;PROPERTY-CASUALTY INSURERS
120;CNC;CENTENE CORPORATION COMMON STOCK;HEALTH CARE;MEDICAL SPECIALITIES
784;CNK;CINEMARK HOLDINGS INC CINEMARK HOLDINGS INC. COMMON STOCK;CONSUMER SERVICES;MOVIES/ENTERTAINMENT
642;CNMD;CONMED CORPORATION COMMON STOCK;HEALTH CARE;BIOTECHNOLOGY: ELECTROMEDICAL & ELECTROTHERAPEUTIC APPARATUS
743;CNO;CNO FINANCIAL GROUP INC. COMMON STOCK;FINANCE;LIFE INSURANCE
311;CNP;CENTERPOINT ENERGY INC (HOLDING CO) COMMON STOCK;PUBLIC UTILITIES;POWER GENERATION
